email_text,category,urgency
eef e bc b e b b,request,medium
congrats that s great i wanted to tell you not to tell me your score cos it might make me relax but its motivating me so thanks for sharing,spam,low
c bd e d d e f aee,request,medium
c d c e b aa ced aefe,request,medium
happened here while you were adventuring,spam,low
fae c e d a dc,request,medium
yes nigh you cant aha,spam,low
f f d e fd af eecca c,request,medium
a edbb d b e b e b b,request,medium
dd c b f f f bf bd c,request,medium
c b a aac fff bc d e d a,request,medium
ae a e e ad b,request,medium
f e ba c fbdfc bd,request,medium
de f eeb d a d ba b,request,medium
c fde eee e e c df a d,request,medium
fantastic,feedback,low
ee bec e e e c a ddc,request,medium
f d e e d a b,request,medium
c e e a b a a f f c f e e,request,medium
d a b b e b bcc ff,request,medium
how are you babes hope your doing ok i had a shit nights sleep i fell asleep at i m knackered and i m dreading work tonight what are thou upto tonight x,spam,low
nope meanwhile she talk say make i greet you,spam,low
i know complain num only bettr directly go to bsnl offc nd apply for it,spam,low
f f da fb ce d cbac,request,medium
a ec ea c c fa,request,medium
u really pig leh sleep so much my dad wake me up at smth eat lunch today,spam,low
b aedba eb ab adb c ab b,request,medium
am i that much bad to avoid like this,spam,low
its a part of checking iq,spam,low
c ad cb ed d a e b,request,medium
done it but internet connection v slow and can t send it will try again later or first thing tomo,spam,low
f b af bf a b e d cb a f,request,medium
c ce a bb d a bc d bd fcb,request,medium
bbf fbd f e a c abd ed c,request,medium
b ec f c c ec da,request,medium
e beaf a c a b af,request,medium
b e fa a da bf a d b e,request,medium
c e c bd d aa b e e,request,medium
a a c a b e e c,request,medium
no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,spam,low
no i decided that only people who care about stuff vote and caring about stuff is for losers,spam,low
my new years eve was ok i went to a party with my boyfriend who is this si then hey,spam,low
b add b ea c ca de b,request,medium
best phone,feedback,low
think i might have to give it a miss am teaching til twelve then have lecture at two damn this working thing,spam,low
e ae d d a a bd ebe cc,request,medium
how long has it been since you screamed princess,spam,low
i am sorry it hurt you,spam,low
valentines day special win over in our quiz and take your partner on the trip of a lifetime send go to now p msg rcvd custcare,spam,low
and i don t plan on staying the night but i prolly won t be back til late,spam,low
yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for by the way who is this dont know number joke,spam,low
they finally came to fix the ceiling,spam,low
edc ca c d a deb,request,medium
e e d a a cd c,request,medium
pls help me tell ashley that i cant find her number oh,spam,low
a cb e b b adab e ec,request,medium
c be d a b c be d,request,medium
bef dc aad c b da e,request,medium
ea d b e ccb a c f b a d,request,medium
c f a b c e f,request,medium
ae add a f a fe a c db e e e,request,medium
o well uv causes mutations sunscreen is like essential thesedays,spam,low
oh yah we never cancel leh haha,spam,low
f f c aa f d fbea,request,medium
good service,feedback,low
nice,feedback,low
bad experience ever battery doesn t show low quality flash light sound very low nnot a metal,feedback,low
ed a d d d aa b f bfb b d d,request,medium
no home work to do meh,spam,low
save money on wedding lingerie at www bridal petticoatdreams co uk choose from a superb selection with national delivery brought to you by weddingfriend,spam,low
bf f da ba b dfa db d c,request,medium
battery,feedback,low
no pic please re send,spam,low
a fc e e b d fea,request,medium
u have a secret admirer who is looking make contact with u find out who they r reveal who thinks ur so special call on,spam,low
sir good morning hope you had a good weekend i called to let you know that i was able to raise lt gt from my dad he however said he would make the rest available by mid feb this amount is still quite short and i was hoping you would help do have a good day abiola,spam,low
f b b cc af e d,request,medium
fa f f fc d bd db,request,medium
a b b f cffd b d,request,medium
congrats mobile g videophones r yours call now videochat wid ur mates play java games dload polyh music noline rentl bx ip we pm,spam,low
c f d a f a cb c ec aacf,request,medium
b ccad aa c c ef,request,medium
prakesh is there know,spam,low
d b cf b e a d d ecfd,request,medium
e d d ec b af fb bc fd f,request,medium
a eab a fec d a cc e c,request,medium
went fast asleep dear take care,spam,low
c df d c b a fb edd,request,medium
e d e e e a c c,request,medium
aedd fe d cab a bd bcef d,request,medium
f fa efb c bede a fe a,request,medium
winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,spam,low
f d ba d e affc f e,request,medium
sorry i ll call later in meeting,spam,low
we don call like lt gt times oh no give us hypertension oh,spam,low
hey pple or for nights excellent location wif breakfast hamper,spam,low
c f e a f a e,request,medium
fbd de b c d f f,request,medium
d e b f c c ee fe,request,medium
worst camera,feedback,low
k so am i how much for an th fifty,spam,low
ok u enjoy ur shows,spam,low
fe ef f d a f ad c,request,medium
bc e e ab a b d dc f f db,request,medium
ee a b cb e a f d d ea c b,request,medium
yup i havent been there before you want to go for the yoga i can call up to book,spam,low
f b c f c d cf f,request,medium
love this product,feedback,low
df d a b f ac ecb abede,request,medium
